,timestep,Node,flow
0,1,node_1,20000000
1,1,node_67,7224
2,1,node_80,39967
3,1,node_84,1339
4,1,node_85,356
5,1,node_87,11368
6,1,node_89,13561
7,1,node_91,4906
8,1,node_95,544
9,1,node_97,22091
10,1,node_99,899
11,1,node_103,9310
12,1,node_104,955
13,1,node_109,23434
14,1,node_113,28729
15,1,node_115,22557
16,1,node_117,45842
17,1,node_121,3002
18,1,node_122,56614
19,1,node_125,10937
20,1,node_126,29663
21,1,node_128,23667
22,1,node_129,52790
23,1,node_131,26959
24,1,node_132,24968
25,1,node_134,10981
26,1,node_136,21260
27,1,node_149,28625
28,1,node_153,13193
29,1,node_154,19829
30,1,node_155,2414
31,1,node_165,29698
32,1,node_168,2636
33,1,node_171,6285
34,1,node_173,221
35,1,node_176,212
36,1,node_180,3418
37,1,node_182,3271
38,1,node_183,2418
39,1,node_185,19683
40,1,node_189,3962
41,1,node_193,21640
42,1,node_196,15681
43,1,node_201,51
44,1,node_203,55918
45,1,node_212,29
46,1,node_213,10284
47,1,node_232,5255
48,1,node_233,32544
49,1,node_236,3125
50,1,node_239,980
51,1,node_240,2255
52,1,node_242,29116
53,1,node_244,235
54,1,node_246,4280
55,1,node_248,7540
56,1,node_250,4809
57,1,node_252,459
58,1,node_255,444
59,1,node_257,9040
60,1,node_263,2625
61,1,node_267,2905
62,1,node_269,1087
63,1,node_270,5185
64,1,node_272,8884
65,1,node_273,5769
66,1,node_277,3050
67,1,node_283,11743
68,1,node_285,15491
69,1,node_292,8238
70,1,node_294,13075
71,1,node_296,18964
72,1,node_298,5899
73,1,node_306,4396
74,1,node_314,6142
75,1,node_316,2685
76,1,node_317,5093
77,1,node_327,13336
78,1,node_329,4743
79,1,node_332,6062
80,1,node_335,4582
81,1,node_336,9453
82,1,node_339,5475
83,1,node_341,9817
84,1,node_355,4711
85,1,node_364,27882
86,1,node_369,2901
87,1,node_372,6625
88,1,node_374,6538
89,1,node_377,6664
90,1,node_380,5229
91,1,node_382,3469
92,1,node_383,4344
93,1,node_390,13120
94,1,node_394,4825
95,1,node_397,30862
96,1,node_402,3741
97,1,node_406,951
98,1,node_413,2949
99,1,node_420,2924
100,1,node_421,8102
101,1,node_423,4455
102,1,node_426,9496
103,1,node_431,14054
104,1,node_433,10225
105,1,node_435,390
106,1,node_436,3768
107,1,node_437,536
108,1,node_438,10111
109,1,node_440,15446
110,1,node_441,2140
111,1,node_442,2763
112,1,node_445,5946
113,1,node_448,76544
114,1,node_449,2797
115,1,node_451,13809
116,1,node_453,242
117,1,node_454,5964
118,1,node_457,719
119,1,node_459,2072
120,1,node_460,76
121,1,node_462,371
122,1,node_464,773
123,1,node_466,11847
124,1,node_469,1142
125,1,node_476,2950
126,1,node_477,18145
127,1,node_478,16269
128,1,node_480,4700
129,1,node_482,4409
130,1,node_487,19299
131,1,node_489,1603
132,1,node_493,864
133,1,node_495,1746
134,1,node_497,339
135,1,node_499,3463
136,1,node_501,2121
137,1,node_502,3488
138,1,node_504,1167
139,1,node_506,145
140,1,node_508,335
141,1,node_513,7156
142,1,node_515,7701
143,1,node_517,3258
144,1,node_519,14018
