Technology,unit_cost_avg,unit_cost_max
Diesel,1106069.1731866004,3000219.2459517806
"Hydro, Large (>50MW)",1891811.6105444992,24819926.15611
"Hydro, Small (<50MW)",2780351.665815515,9733016.791994853
Natural Gas,1179502.5986154124,3370503.776518218
"Solar, PV",2571198.0371694625,19816957.593590934
Transmission,555707.5646743824,2909437.878787879
Wind,2178692.7227623533,12253971.245547235
